Country,Year,Value
Albania,2018,6.8
Austria,2006,25.5
Austria,2007,25.5
Austria,2008,25.1
Austria,2009,24.3
Austria,2010,24.0
Austria,2011,23.5
Austria,2012,22.9
Austria,2013,22.3
Austria,2014,22.2
Austria,2015,21.8
Austria,2016,20.8
Austria,2017,20.7
Austria,2018,20.4
Austria,2019,20.0
Austria,2020,19.2
Austria,2021,19.1
Austria,2022,18.7
Austria,2023,18.3
Austria,2024,17.6
Belgium,2006,9.5
Belgium,2007,10.1
Belgium,2008,10.2
Belgium,2009,10.1
Belgium,2010,10.2
Belgium,2011,9.4
Belgium,2012,8.3
Belgium,2013,7.5
Belgium,2014,6.6
Belgium,2015,6.4
Belgium,2016,6.0
Belgium,2017,5.8
Belgium,2018,5.8
Belgium,2019,4.7
Belgium,2020,3.2
Belgium,2021,1.8
Belgium,2022,0.7
Belgium,2023,0.7
Belgium,2024,0.7
Bulgaria,2002,18.9
Bulgaria,2006,12.4
Bulgaria,2007,12.1
Bulgaria,2008,12.3
Bulgaria,2009,13.3
Bulgaria,2010,13.0
Bulgaria,2011,13.2
Bulgaria,2012,15.1
Bulgaria,2013,14.1
Bulgaria,2014,14.2
Bulgaria,2015,15.5
Bulgaria,2016,14.6
Bulgaria,2017,14.3
Bulgaria,2018,13.9
Bulgaria,2019,14.0
Bulgaria,2020,12.5
Bulgaria,2021,11.9
Bulgaria,2022,12.6
Bulgaria,2023,13.5
Bulgaria,2024,12.0
Switzerland,2006,18.6
Switzerland,2008,18.4
Switzerland,2009,18.4
Switzerland,2010,17.8
Switzerland,2011,17.6
Switzerland,2012,17.4
Switzerland,2013,17.6
Switzerland,2014,17.4
Switzerland,2015,17.9
Switzerland,2016,17.4
Switzerland,2017,17.6
Switzerland,2018,18.6
Switzerland,2019,18.4
Switzerland,2020,18.0
Switzerland,2021,17.0
Switzerland,2022,17.0
Switzerland,2023,17.2
Switzerland,2024,16.0
Cyprus,2002,22.5
Cyprus,2006,21.8
Cyprus,2007,22.0
Cyprus,2008,19.5
Cyprus,2009,17.8
Cyprus,2010,16.8
Cyprus,2011,16.1
Cyprus,2012,15.6
Cyprus,2013,14.9
Cyprus,2014,14.2
Cyprus,2015,13.2
Cyprus,2016,12.3
Cyprus,2017,11.2
Cyprus,2018,10.4
Cyprus,2019,10.5
Cyprus,2020,9.9
Cyprus,2021,11.0
Cyprus,2022,11.9
Cyprus,2023,12.0
Cyprus,2024,11.8
Czechia,2002,22.1
Czechia,2006,23.4
Czechia,2007,23.6
Czechia,2008,26.2
Czechia,2009,25.9
Czechia,2010,21.6
Czechia,2011,22.6
Czechia,2012,22.5
Czechia,2013,22.3
Czechia,2014,22.5
Czechia,2015,22.5
Czechia,2016,21.5
Czechia,2017,21.1
Czechia,2018,20.1
Czechia,2019,19.3
Czechia,2020,16.7
Czechia,2021,15.4
Czechia,2022,18.4
Czechia,2023,18.0
Czechia,2024,18.5
Germany,2006,22.7
Germany,2007,22.8
Germany,2008,22.8
Germany,2009,22.6
Germany,2010,22.3
Germany,2011,22.4
Germany,2012,22.7
Germany,2013,22.1
Germany,2014,22.3
Germany,2015,21.8
Germany,2016,21.1
Germany,2017,20.4
Germany,2018,20.1
Germany,2019,19.2
Germany,2020,18.3
Germany,2021,17.6
Germany,2022,17.7
Germany,2023,17.6
Germany,2024,15.6
Denmark,2006,17.6
Denmark,2007,17.7
Denmark,2008,17.1
Denmark,2009,16.8
Denmark,2010,17.1
Denmark,2011,16.4
Denmark,2012,16.8
Denmark,2013,16.5
Denmark,2014,16.0
Denmark,2015,15.1
Denmark,2016,15.1
Denmark,2017,14.8
Denmark,2018,14.6
Denmark,2019,17.7
Denmark,2020,13.8
Denmark,2021,14.2
Denmark,2022,13.8
Denmark,2023,14.0
Denmark,2024,14.0
Euro area - 19 countries  (2015-2022),2010,17.0
Euro area - 19 countries  (2015-2022),2011,17.3
Euro area - 19 countries  (2015-2022),2012,17.6
Euro area - 19 countries  (2015-2022),2013,17.1
Euro area - 19 countries  (2015-2022),2014,16.8
Euro area - 19 countries  (2015-2022),2015,16.5
Euro area - 19 countries  (2015-2022),2016,16.2
Euro area - 19 countries  (2015-2022),2017,15.7
Euro area - 19 countries  (2015-2022),2018,15.3
Euro area - 19 countries  (2015-2022),2019,14.6
Euro area - 19 countries  (2015-2022),2020,14.0
Euro area - 19 countries  (2015-2022),2021,13.4
Euro area - 19 countries  (2015-2022),2022,13.2
Euro area – 20 countries (2023-2025),2010,16.9
Euro area – 20 countries (2023-2025),2011,17.2
Euro area – 20 countries (2023-2025),2012,17.4
Euro area – 20 countries (2023-2025),2013,17.0
Euro area – 20 countries (2023-2025),2014,16.8
Euro area – 20 countries (2023-2025),2015,16.4
Euro area – 20 countries (2023-2025),2016,16.2
Euro area – 20 countries (2023-2025),2017,15.6
Euro area – 20 countries (2023-2025),2018,15.3
Euro area – 20 countries (2023-2025),2019,14.4
Euro area – 20 countries (2023-2025),2020,13.7
Euro area – 20 countries (2023-2025),2021,13.0
Euro area – 20 countries (2023-2025),2022,12.7
Euro area – 20 countries (2023-2025),2023,12.1
Euro area – 20 countries (2023-2025),2024,11.4
Estonia,2006,29.8
Estonia,2007,30.9
Estonia,2008,27.6
Estonia,2009,26.6
Estonia,2010,27.7
Estonia,2011,27.3
Estonia,2012,29.9
Estonia,2013,29.8
Estonia,2014,28.1
Estonia,2015,26.7
Estonia,2016,24.8
Estonia,2017,24.9
Estonia,2018,21.8
Estonia,2019,21.6
Estonia,2020,21.0
Estonia,2021,20.3
Estonia,2022,21.1
Estonia,2023,19.6
Estonia,2024,18.8
Greece,2002,25.5
Greece,2006,20.7
Greece,2007,21.5
Greece,2008,22.0
Greece,2010,15.0
Greece,2014,12.5
Greece,2018,10.4
Greece,2022,13.5
Greece,2023,13.6
Greece,2024,13.4
Spain,2002,20.2
Spain,2006,17.9
Spain,2007,18.1
Spain,2008,16.1
Spain,2009,16.7
Spain,2010,16.2
Spain,2011,17.6
Spain,2012,18.7
Spain,2013,17.8
Spain,2014,14.9
Spain,2015,14.1
Spain,2016,14.8
Spain,2017,13.5
Spain,2018,11.9
Spain,2019,9.6
Spain,2020,9.3
Spain,2021,9.3
Spain,2022,9.2
Spain,2023,7.3
Spain,2024,7.3
European Union - 27 countries (2007-2013),2006,17.7
European Union - 27 countries (from 2020),2010,15.8
European Union - 27 countries (from 2020),2011,16.2
European Union - 27 countries (from 2020),2012,16.4
European Union - 27 countries (from 2020),2013,16.0
European Union - 27 countries (from 2020),2014,15.7
European Union - 27 countries (from 2020),2015,15.5
European Union - 27 countries (from 2020),2016,15.1
European Union - 27 countries (from 2020),2017,14.6
European Union - 27 countries (from 2020),2018,14.4
European Union - 27 countries (from 2020),2019,13.7
European Union - 27 countries (from 2020),2020,12.7
European Union - 27 countries (from 2020),2021,12.3
European Union - 27 countries (from 2020),2022,12.2
European Union - 27 countries (from 2020),2023,11.7
European Union - 27 countries (from 2020),2024,11.1
Finland,2006,21.3
Finland,2007,20.2
Finland,2008,20.5
Finland,2009,20.8
Finland,2010,20.3
Finland,2011,19.1
Finland,2012,19.2
Finland,2013,18.8
Finland,2014,18.4
Finland,2015,17.5
Finland,2016,17.5
Finland,2017,17.1
Finland,2018,16.9
Finland,2019,16.7
Finland,2020,16.9
Finland,2021,16.9
Finland,2022,16.0
Finland,2023,16.8
Finland,2024,16.3
France,2006,15.4
France,2007,17.3
France,2008,16.9
France,2009,15.2
France,2010,15.6
France,2011,15.7
France,2012,15.6
France,2013,15.5
France,2014,15.5
France,2015,15.6
France,2016,15.9
France,2017,16.3
France,2018,16.7
France,2019,16.0
France,2020,15.0
France,2021,13.7
France,2022,12.8
France,2023,12.3
France,2024,11.8
Croatia,2010,5.7
Croatia,2013,7.7
Croatia,2014,8.7
Croatia,2016,11.6
Croatia,2017,12.3
Croatia,2018,11.4
Croatia,2019,10.2
Croatia,2020,8.7
Croatia,2021,7.3
Croatia,2022,7.7
Croatia,2023,7.4
Croatia,2024,6.6
Hungary,2002,19.1
Hungary,2006,14.4
Hungary,2007,16.3
Hungary,2008,17.5
Hungary,2009,17.1
Hungary,2010,17.6
Hungary,2011,18.0
Hungary,2012,20.1
Hungary,2013,18.4
Hungary,2014,15.1
Hungary,2015,14.0
Hungary,2016,14.0
Hungary,2017,15.9
Hungary,2018,14.2
Hungary,2019,18.2
Hungary,2020,17.1
Hungary,2021,17.2
Hungary,2022,17.5
Hungary,2023,17.8
Hungary,2024,16.9
Ireland,2002,15.1
Ireland,2006,17.2
Ireland,2007,17.3
Ireland,2008,12.6
Ireland,2009,12.6
Ireland,2010,13.9
Ireland,2011,12.7
Ireland,2012,12.2
Ireland,2013,12.9
Ireland,2014,13.9
Ireland,2015,13.9
Ireland,2016,14.2
Ireland,2017,14.4
Ireland,2018,11.3
Ireland,2019,10.3
Ireland,2020,9.0
Ireland,2021,9.9
Ireland,2022,9.3
Ireland,2023,8.6
Ireland,2024,8.3
Iceland,2007,24.0
Iceland,2008,20.7
Iceland,2009,18.0
Iceland,2010,17.7
Iceland,2011,17.8
Iceland,2012,17.7
Iceland,2013,19.0
Iceland,2014,16.7
Iceland,2015,17.5
Iceland,2016,15.8
Iceland,2017,15.3
Iceland,2018,13.8
Iceland,2019,14.1
Iceland,2020,12.0
Iceland,2021,10.2
Iceland,2022,9.0
Iceland,2023,9.7
Iceland,2024,11.1
Italy,2006,4.4
Italy,2007,5.1
Italy,2008,4.9
Italy,2009,5.5
Italy,2010,5.3
Italy,2011,5.7
Italy,2012,6.5
Italy,2013,7.0
Italy,2014,6.1
Italy,2015,5.5
Italy,2016,5.3
Italy,2017,5.0
Italy,2018,5.5
Italy,2019,4.6
Italy,2020,4.0
Italy,2021,4.7
Italy,2022,3.8
Italy,2023,2.2
Italy,2024,5.3
Lithuania,2002,13.2
Lithuania,2006,17.1
Lithuania,2007,22.6
Lithuania,2008,21.6
Lithuania,2009,15.3
Lithuania,2010,11.9
Lithuania,2011,11.5
Lithuania,2012,11.9
Lithuania,2013,12.2
Lithuania,2014,13.3
Lithuania,2015,14.2
Lithuania,2016,14.4
Lithuania,2017,15.2
Lithuania,2018,14.0
Lithuania,2019,12.9
Lithuania,2020,12.3
Lithuania,2021,10.9
Lithuania,2022,10.5
Lithuania,2023,11.5
Lithuania,2024,10.0
Luxembourg,2006,10.7
Luxembourg,2007,10.2
Luxembourg,2008,9.7
Luxembourg,2009,9.2
Luxembourg,2010,8.7
Luxembourg,2011,7.9
Luxembourg,2012,7.0
Luxembourg,2013,6.2
Luxembourg,2014,5.4
Luxembourg,2015,4.7
Luxembourg,2016,3.9
Luxembourg,2017,2.6
Luxembourg,2018,1.4
Luxembourg,2019,0.9
Luxembourg,2020,0.3
Luxembourg,2021,-0.2
Luxembourg,2022,-0.7
Luxembourg,2023,-0.9
Luxembourg,2024,-0.8
Latvia,2006,15.1
Latvia,2007,13.6
Latvia,2008,11.8
Latvia,2009,13.1
Latvia,2010,15.5
Latvia,2011,14.1
Latvia,2012,14.9
Latvia,2013,16.0
Latvia,2014,17.3
Latvia,2015,18.4
Latvia,2016,19.7
Latvia,2017,19.8
Latvia,2018,19.6
Latvia,2019,21.6
Latvia,2020,23.2
Latvia,2021,15.9
Latvia,2022,18.9
Latvia,2023,16.4
Latvia,2024,13.9
Montenegro,2014,7.7
North Macedonia,2014,9.1
Malta,2006,5.2
Malta,2007,7.8
Malta,2008,9.2
Malta,2009,7.7
Malta,2010,7.2
Malta,2011,7.7
Malta,2012,9.5
Malta,2013,9.7
Malta,2014,10.6
Malta,2015,10.7
Malta,2016,11.6
Malta,2017,13.2
Malta,2018,13.0
Malta,2019,10.5
Malta,2020,7.9
Malta,2021,7.2
Malta,2022,5.8
Malta,2023,5.1
Malta,2024,4.9
Netherlands,2002,18.7
Netherlands,2006,23.6
Netherlands,2007,19.3
Netherlands,2008,18.9
Netherlands,2009,18.5
Netherlands,2010,17.8
Netherlands,2011,18.8
Netherlands,2012,18.0
Netherlands,2013,17.2
Netherlands,2014,17.0
Netherlands,2015,16.1
Netherlands,2016,15.6
Netherlands,2017,15.1
Netherlands,2018,14.7
Netherlands,2019,14.9
Netherlands,2020,14.7
Netherlands,2021,14.3
Netherlands,2022,14.0
Netherlands,2023,12.5
Netherlands,2024,11.2
Norway,2006,16.0
Norway,2007,15.6
Norway,2008,17.0
Norway,2009,16.5
Norway,2010,16.1
Norway,2011,15.7
Norway,2012,14.7
Norway,2013,15.5
Norway,2014,14.5
Norway,2015,16.0
Norway,2016,14.5
Norway,2017,13.7
Norway,2018,13.2
Norway,2019,13.3
Norway,2020,13.6
Norway,2021,13.4
Norway,2022,13.7
Norway,2023,12.8
Norway,2024,13.0
Poland,2002,7.5
Poland,2006,7.5
Poland,2007,14.9
Poland,2008,11.4
Poland,2009,8.0
Poland,2010,4.5
Poland,2011,5.5
Poland,2012,6.4
Poland,2013,7.1
Poland,2014,7.7
Poland,2015,7.3
Poland,2016,7.1
Poland,2017,7.0
Poland,2018,8.5
Poland,2019,6.5
Poland,2020,4.5
Poland,2021,6.2
Poland,2022,7.8
Poland,2023,5.9
Poland,2024,4.0
Portugal,2006,8.4
Portugal,2007,8.5
Portugal,2008,9.2
Portugal,2009,10.0
Portugal,2010,12.8
Portugal,2011,12.9
Portugal,2012,15.0
Portugal,2013,13.3
Portugal,2014,14.9
Portugal,2015,16.0
Portugal,2016,13.9
Portugal,2017,10.8
Portugal,2018,8.9
Portugal,2019,9.4
Portugal,2020,8.3
Portugal,2021,7.1
Portugal,2022,6.3
Portugal,2023,8.6
Portugal,2024,7.0
Romania,2002,16.0
Romania,2006,7.8
Romania,2007,12.5
Romania,2008,8.5
Romania,2009,7.4
Romania,2010,8.8
Romania,2011,9.6
Romania,2012,6.9
Romania,2013,4.9
Romania,2014,4.5
Romania,2015,5.6
Romania,2016,4.8
Romania,2017,2.9
Romania,2018,2.2
Romania,2019,2.6
Romania,2020,0.9
Romania,2021,1.4
Romania,2022,1.5
Romania,2023,3.8
Romania,2024,3.7
Serbia,2014,8.7
Serbia,2018,9.6
Sweden,2006,16.5
Sweden,2007,17.8
Sweden,2008,16.9
Sweden,2009,15.7
Sweden,2010,15.4
Sweden,2011,15.6
Sweden,2012,15.5
Sweden,2013,14.6
Sweden,2014,13.8
Sweden,2015,14.0
Sweden,2016,13.3
Sweden,2017,12.5
Sweden,2018,12.1
Sweden,2019,11.1
Sweden,2020,10.5
Sweden,2021,10.3
Sweden,2022,10.4
Sweden,2023,11.2
Sweden,2024,11.2
Slovenia,2002,6.1
Slovenia,2006,8.0
Slovenia,2007,5.0
Slovenia,2008,4.1
Slovenia,2009,-0.9
Slovenia,2010,0.9
Slovenia,2011,3.3
Slovenia,2012,4.5
Slovenia,2013,6.3
Slovenia,2014,7.0
Slovenia,2015,8.2
Slovenia,2016,8.1
Slovenia,2017,8.4
Slovenia,2018,9.3
Slovenia,2019,7.5
Slovenia,2020,2.4
Slovenia,2021,2.7
Slovenia,2022,6.8
Slovenia,2023,6.0
Slovenia,2024,8.0
Slovakia,2002,27.7
Slovakia,2006,25.8
Slovakia,2007,23.6
Slovakia,2008,20.9
Slovakia,2009,21.9
Slovakia,2010,19.6
Slovakia,2011,20.1
Slovakia,2012,20.8
Slovakia,2013,18.8
Slovakia,2014,19.7
Slovakia,2015,19.7
Slovakia,2016,19.2
Slovakia,2017,20.1
Slovakia,2018,19.8
Slovakia,2019,18.2
Slovakia,2020,15.4
Slovakia,2021,16.0
Slovakia,2022,16.8
Slovakia,2023,15.7
Slovakia,2024,15.7
Türkiye,2006,-2.2
Türkiye,2014,-1.3
United Kingdom,2002,27.3
United Kingdom,2006,24.3
United Kingdom,2007,20.8
United Kingdom,2008,21.4
United Kingdom,2009,20.6
United Kingdom,2010,23.3
United Kingdom,2011,21.8
United Kingdom,2012,22.6
United Kingdom,2013,21.0
United Kingdom,2014,20.9
United Kingdom,2015,21.0
United Kingdom,2016,20.7
United Kingdom,2017,20.8
United Kingdom,2018,19.8
